epoch,phase,train_loss,train_acc,val_loss,val_acc
1,HEAD,2.3545548907899825,0.312625250501002,2.0416210125654173,0.358974358974359
2,HEAD,2.0356907806320037,0.3787575150300601,1.9108395117979784,0.38782051282051283
3,HEAD,1.9422239264250598,0.3914495657982632,1.8610964127075977,0.4423076923076923
4,HEAD,1.8981624277894626,0.4228456913827655,1.7833110583134186,0.41025641025641024
5,HEAD,1.7993806434139539,0.43353373413493657,1.7646615994282258,0.44551282051282054
6,HEAD,1.7868911285120086,0.447561790247161,1.711860546698937,0.4423076923076923
7,HEAD,1.7688655759305578,0.4468937875751503,1.6310173181387095,0.46153846153846156
8,HEAD,1.714790038212029,0.4589178356713427,1.6580848357616327,0.46474358974358976
9,HEAD,1.6826823263384934,0.4789579158316633,1.6931305970901098,0.4358974358974359
10,HEAD,1.6510568153245018,0.46693386773547096,1.6628213845766509,0.47115384615384615
11,FULL,1.5628102734316645,0.503006012024048,1.4986303005463038,0.4967948717948718
12,FULL,1.356176039498889,0.5778223112892451,1.3575870272440789,0.5641025641025641
13,FULL,1.233348010616774,0.6205744822979292,1.2686662387389402,0.5961538461538461
14,FULL,1.1099226544838232,0.6653306613226453,1.130289348654258,0.625
15,FULL,1.0563127902960412,0.6760187040748163,1.046852244780614,0.6474358974358975
16,FULL,0.956620273545494,0.7160988643954576,1.0346695308883984,0.6506410256410257
17,FULL,0.9042505006353777,0.7247828991315965,1.0201484867108939,0.6698717948717948
18,FULL,0.8912656542931546,0.7241148964595858,1.0120533962662404,0.6858974358974359
19,FULL,0.8418049633940937,0.7361389445557782,1.0717073002686868,0.6506410256410257
20,FULL,0.7827016063427719,0.751503006012024,0.9757378569398171,0.6826923076923077
21,FULL,0.7670644157794451,0.7715430861723447,0.9426045954609529,0.6858974358974359
22,FULL,0.7298055155403071,0.7735470941883767,0.9815592583364401,0.6955128205128205
23,FULL,0.7081797930026899,0.7862391449565799,1.0355479018046305,0.6602564102564102
24,FULL,0.6549921554171728,0.8036072144288577,0.9845414007416903,0.6923076923076923
25,FULL,0.6536658345339055,0.8002672010688042,1.0517311851756694,0.6826923076923077
26,FULL,0.6037122456328265,0.8149632598530394,0.98107757505316,0.6955128205128205
27,FULL,0.5797214357153766,0.824315297261189,0.9973816152853079,0.6955128205128205
28,FULL,0.5396329262054357,0.8289913159652639,0.9404593999139391,0.7115384615384616
29,FULL,0.5471914511325763,0.8303273213092852,0.9838233241954675,0.7083333333333334
30,FULL,0.5268850371928396,0.8390113560454242,0.9988310706491271,0.7115384615384616
31,FULL,0.49398224952623854,0.8510354041416166,1.013572468685034,0.7019230769230769
32,FULL,0.4822360170867018,0.8416833667334669,1.028465558321048,0.7115384615384616
33,FULL,0.48721466972458416,0.845691382765531,1.0281193814813518,0.7083333333333334
34,FULL,0.45037441147751384,0.863059452237809,1.006078892148649,0.7115384615384616
35,FULL,0.4175166366254798,0.8643954575818303,0.9374332395501626,0.7275641025641025
36,FULL,0.4129342083621997,0.8710754843019372,0.9086037304921027,0.7243589743589743
37,FULL,0.4002665818812613,0.8724114896459586,0.9161573292162174,0.7275641025641025
38,FULL,0.3866751659549549,0.8830995323981295,0.9491660370467565,0.7435897435897436
39,FULL,0.38462452038017686,0.8824315297261189,0.9021047633141279,0.7275641025641025
40,FULL,0.3508922537725292,0.8937875751503006,0.952126399279596,0.7147435897435898
41,FULL,0.3508370561685734,0.8997995991983968,0.963423278182745,0.7339743589743589
42,FULL,0.33335220387719355,0.8984635938543755,0.8809998551956736,0.7371794871794872
43,FULL,0.3393831111306577,0.8937875751503006,0.8992589825215057,0.7435897435897436
44,FULL,0.34532859421763806,0.8877755511022044,0.9156027564253563,0.75
45,FULL,0.3191126738597173,0.8984635938543755,0.9601449952819027,0.7243589743589743
46,FULL,0.2861828751060751,0.9178356713426854,0.9792223730339453,0.717948717948718
47,FULL,0.3140130205877479,0.9044756179024717,0.9685241786333231,0.7307692307692307
48,FULL,0.2940197411424411,0.9118236472945892,0.9481432032890809,0.7307692307692307
49,FULL,0.31212393359175983,0.9091516366065464,0.969507979754454,0.7275641025641025
50,FULL,0.28578122586270693,0.9098196392785571,0.9213530469614153,0.7467948717948718
51,FULL,0.2786487686580312,0.9198396793587175,0.9436598327488471,0.7435897435897436
52,FULL,0.28328011755918014,0.9158316633266533,0.913891428651718,0.75
53,FULL,0.2882656194244772,0.9111556446225785,0.9224103760595123,0.7275641025641025
54,FULL,0.2669473071156459,0.9144956579826319,0.9397494793415834,0.7403846153846154
55,FULL,0.27023706512006823,0.9151636606546426,0.9565260603498572,0.7275641025641025
56,FULL,0.2724114131274507,0.916499665998664,0.9933545531896062,0.7403846153846154
